Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
Licata,84021,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,9568,7817,7496
Lucca Sicula,84022,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1024,886,865
Lucca Sicula,84022,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,506,497,484
Menfi,84023,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,7312,5732,5332
Menfi,84023,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,3574,3235,3125
Montallegro,84024,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1440,1136,1094
Montallegro,84024,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,727,640,620
Montevago,84025,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1650,1355,1295
Montevago,84025,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,878,832,822
Naro,84026,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4192,3082,2876
Naro,84026,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2362,2039,1971
Palma di Montechiaro,84027,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,13361,8397,7426
Palma di Montechiaro,84027,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,5523,4682,4483
Porto Empedocle,84028,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,10094,7828,7331
Porto Empedocle,84028,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,4149,3694,3600
Racalmuto,84029,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4762,3794,3517
Racalmuto,84029,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2180,1939,1876
Raffadali,84030,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,7642,6298,5918
Raffadali,84030,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,3463,3209,3080
Ravanusa,84031,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,6729,4402,4037
Ravanusa,84031,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,3006,2364,2275
Realmonte,84032,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2702,2177,2059
Realmonte,84032,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1237,1144,1102
Ribera,84033,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,10880,8356,7903
Ribera,84033,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,5362,4790,4685
Sambuca di Sicilia,84034,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3376,2889,2774
Sambuca di Sicilia,84034,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1658,1592,1533
San Biagio Platani,84035,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1695,1340,1262
San Biagio Platani,84035,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1043,960,919
San Giovanni Gemini,84036,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4670,3798,3645
San Giovanni Gemini,84036,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2255,2073,2037
Sant'Angelo Muxaro,84039,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,620,443,425
Sant'Angelo Muxaro,84039,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,472,417,406
Santa Elisabetta,84037,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1344,1085,1033
Santa Elisabetta,84037,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,642,629,613
Santa Margherita di Belice,84038,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3849,3059,2855
