denominazione_comune,terapia_intensiva,malattie_infettive,positivi_quarantena_domiciliare,ricoverati_altrove,guariti_clinicamente,guariti_da_covid,deceduti_in_provincia,deceduti_fuori_provincia,data
Vallelunga Pratameno,,1,6,,,40,,,2021-04-22
Villalba,,,5,,,41,,,2021-04-22
altreProvince,,6,,2,14,48,25,,2021-04-22
Acquaviva Platani,,,31,,,10,,,2021-04-23
Bompensiere,,,5,,,19,1,,2021-04-23
Butera,,,6,,,81,,,2021-04-23
Campofranco,,,3,,,42,2,,2021-04-23
Caltanissetta,2,34,390,1,,1970,38,1,2021-04-23
Delia,1,1,13,,,51,1,,2021-04-23
Gela,5,22,472,3,,2914,66,,2021-04-23
Marianopoli,1,2,46,,,11,1,,2021-04-23
Mazzarino,,1,82,,,305,3,,2021-04-23
Milena,,,1,,,153,6,,2021-04-23
Montedoro,,1,5,,,76,3,,2021-04-23
Mussomeli,,3,97,,,203,4,1,2021-04-23
Niscemi,1,2,141,,,1122,23,,2021-04-23
Resuttano,,1,13,,,65,,,2021-04-23
Riesi,,3,38,1,,254,6,,2021-04-23
San Cataldo,2,7,85,,,671,11,,2021-04-23
Santa Caterina Villarmosa,,2,6,,,80,1,,2021-04-23
Serradifalco,,,42,,,167,3,,2021-04-23
Sommatino,1,,26,,,88,3,,2021-04-23
Sutera,,,,,,4,,,2021-04-23
Vallelunga Pratameno,,1,4,,,42,,,2021-04-23
Villalba,,,6,,,42,,,2021-04-23
altreProvince,,6,,2,14,48,25,,2021-04-23
Acquaviva Platani,,,30,,,11,,,2021-04-24
Bompensiere,,,11,,,19,1,,2021-04-24
Butera,,,6,,,81,,,2021-04-24
Campofranco,,,3,,,42,2,,2021-04-24
Caltanissetta,2,32,380,1,,1996,38,1,2021-04-24
Delia,1,1,12,,,52,1,,2021-04-24
Gela,5,22,468,3,,2930,66,,2021-04-24
Marianopoli,1,3,46,,,11,1,,2021-04-24
Mazzarino,,,82,,,306,3,,2021-04-24
Milena,,,1,,,153,6,,2021-04-24
Montedoro,,1,5,,,76,3,,2021-04-24
Mussomeli,,2,110,,,204,4,1,2021-04-24
Niscemi,1,2,151,,,1125,23,,2021-04-24
Resuttano,,2,13,,,65,,,2021-04-24
Riesi,,5,36,1,,254,6,,2021-04-24
San Cataldo,2,7,80,,,678,11,,2021-04-24
Santa Caterina Villarmosa,,2,4,,,82,1,,2021-04-24
Serradifalco,,,46,,,167,3,,2021-04-24
Sommatino,1,,27,,,88,3,,2021-04-24
Sutera,,,,,,4,,,2021-04-24
Vallelunga Pratameno,,1,4,,,42,,,2021-04-24
Villalba,,,5,,,43,,,2021-04-24
altreProvince,,6,,2,14,48,25,,2021-04-24
Acquaviva Platani,,1,25,,,16,,,2021-04-27
Bompensiere,,,7,,,23,1,,2021-04-27
Butera,,,6,,,81,,,2021-04-27
Campofranco,,,3,,,43,2,,2021-04-27
Caltanissetta,4,29,365,1,,2032,38,1,2021-04-27
Delia,,1,13,,,56,2,,2021-04-27
Gela,5,20,495,3,,2959,68,,2021-04-27
Marianopoli,1,3,47,,,12,1,,2021-04-27
Mazzarino,,,56,,,337,3,,2021-04-27
Milena,,,1,,,153,6,,2021-04-27
Montedoro,,,2,,,81,3,,2021-04-27
Mussomeli,,3,106,,,210,4,1,2021-04-27
Niscemi,,2,134,,,1148,24,,2021-04-27
Resuttano,,2,15,,,65,,,2021-04-27
Riesi,,5,38,1,,255,6,,2021-04-27
San Cataldo,3,7,77,,,688,11,,2021-04-27
Santa Caterina Villarmosa,,4,19,,,83,1,,2021-04-27
Serradifalco,,2,54,,,173,3,,2021-04-27
Sommatino,1,,18,,,99,3,,2021-04-27
Sutera,,,,,,4,,,2021-04-27
Vallelunga Pratameno,,1,4,,,42,,,2021-04-27
Villalba,,,5,,,43,,,2021-04-27
altreProvince,,7,,2,14,48,25,,2021-04-27
Acquaviva Platani,,1,25,,,16,,,2021-04-28
Bompensiere,,,7,,,23,1,,2021-04-28
Butera,,,6,,,81,,,2021-04-28
Campofranco,,,3,,,43,2,,2021-04-28
Caltanissetta,2,26,312,1,,2091,40,1,2021-04-28
Delia,,1,13,,,56,2,,2021-04-28
Gela,6,21,524,3,,2971,68,,2021-04-28
Marianopoli,,4,50,,,12,2,,2021-04-28
Mazzarino,,,54,,,339,3,,2021-04-28
Milena,,,1,,,153,6,,2021-04-28
Montedoro,,,2,,,81,3,,2021-04-28
Mussomeli,,4,102,,,214,4,1,2021-04-28
Niscemi,,2,133,,,1155,24,,2021-04-28
Resuttano,,2,15,,,65,,,2021-04-28
Riesi,,6,48,1,,255,6,,2021-04-28
San Cataldo,3,8,69,,,699,11,,2021-04-28
Santa Caterina Villarmosa,,4,19,,,83,1,,2021-04-28
Serradifalco,1,1,50,,,177,3,,2021-04-28
Sommatino,1,,15,,,102,3,,2021-04-28
Sutera,,,,,,4,,,2021-04-28
Vallelunga Pratameno,,1,2,,,44,,,2021-04-28
Villalba,,,4,,,44,,,2021-04-28
altreProvince,1,6,,2,14,48,25,,2021-04-28
Acquaviva Platani,,1,25,,,16,,,2021-04-29
Bompensiere,,,7,,,23,1,,2021-04-29
Butera,,,6,,,81,,,2021-04-29
Campofranco,,,3,,,43,2,,2021-04-29
Caltanissetta,2,22,308,1,,2102,40,1,2021-04-29
Delia,,1,13,,,56,2,,2021-04-29
Gela,5,23,532,3,,2975,68,,2021-04-29
Marianopoli,,4,50,,,12,2,,2021-04-29
Mazzarino,,,54,,,339,3,,2021-04-29
Milena,,,1,,,153,6,,2021-04-29
Montedoro,,,2,,,81,3,,2021-04-29
Mussomeli,,3,103,,,214,4,1,2021-04-29
Niscemi,,2,134,,,1160,24,,2021-04-29
Resuttano,,2,13,,,67,,,2021-04-29
Riesi,,6,49,1,,255,6,,2021-04-29
San Cataldo,2,8,66,,,703,12,,2021-04-29
Santa Caterina Villarmosa,,4,19,,,83,1,,2021-04-29
Serradifalco,1,2,50,,,177,3,,2021-04-29
Sommatino,1,,13,,,104,3,,2021-04-29
Sutera,,,,,,4,,,2021-04-29
Vallelunga Pratameno,,1,2,,,44,,,2021-04-29
Villalba,,,4,,,44,,,2021-04-29
altreProvince,,6,,2,14,48,26,,2021-04-29
Acquaviva Platani,,1.0,25.0,,,16.0,,,2021-04-30
Bompensiere,,,7.0,,,23.0,1.0,,2021-04-30
Butera,,,6.0,,,81.0,,,2021-04-30
Campofranco,,,3.0,,,43.0,2.0,,2021-04-30
Caltanissetta,2.0,22.0,276.0,1.0,,2138.0,40.0,1.0,2021-04-30
Delia,,1.0,10.0,,,59.0,2.0,,2021-04-30
Gela,6.0,23.0,545.0,3.0,,2992.0,68.0,,2021-04-30
Marianopoli,,4.0,46.0,,,17.0,2.0,,2021-04-30
Mazzarino,,,54.0,,,339.0,3.0,,2021-04-30
Milena,,,1.0,,,153.0,6.0,,2021-04-30
Montedoro,,,2.0,,,81.0,3.0,,2021-04-30
Mussomeli,,3.0,98.0,,,219.0,4.0,1.0,2021-04-30
Niscemi,,2.0,124.0,,,1176.0,24.0,,2021-04-30
Resuttano,,2.0,13.0,,,67.0,,,2021-04-30
Riesi,,6.0,49.0,1.0,,255.0,6.0,,2021-04-30
San Cataldo,2.0,7.0,64.0,,,708.0,12.0,,2021-04-30
Santa Caterina Villarmosa,,3.0,19.0,,,84.0,1.0,,2021-04-30
Serradifalco,1.0,2.0,49.0,,,178.0,3.0,,2021-04-30
Sommatino,1.0,,11.0,,,106.0,3.0,,2021-04-30
Sutera,,,,,,4.0,,,2021-04-30
Vallelunga Pratameno,,1.0,2.0,,,44.0,,,2021-04-30
Villalba,,,4.0,,,44.0,,,2021-04-30
altreProvince,,6.0,,2.0,14.0,48.0,26.0,,2021-04-30
Acquaviva Platani,,1,21,,,20,,,2021-05-01
Bompensiere,,,7,,,23,1,,2021-05-01
Butera,,,7,,,81,,,2021-05-01
Campofranco,,,3,,,43,2,,2021-05-01
Caltanissetta,2,23,262,1,,2157,40,1,2021-05-01
Delia,,1,10,,,59,2,,2021-05-01
Gela,5,25,552,3,,2999,69,,2021-05-01
Marianopoli,,4,46,,,18,2,,2021-05-01
Mazzarino,,,56,,,342,3,,2021-05-01
Milena,,,1,,,153,6,,2021-05-01
Montedoro,,,2,,,81,3,,2021-05-01
Mussomeli,,3,88,,,229,4,1,2021-05-01
Niscemi,,1,122,,,1179,24,,2021-05-01
Resuttano,,2,13,,,67,,,2021-05-01
Riesi,,6,53,1,,258,6,,2021-05-01
San Cataldo,2,7,60,,,715,12,,2021-05-01
Santa Caterina Villarmosa,,3,19,,,84,1,,2021-05-01
Serradifalco,1,2,47,,,182,3,,2021-05-01
Sommatino,1,,11,,,106,3,,2021-05-01
Sutera,,,,,,4,,,2021-05-01
Vallelunga Pratameno,,1,2,,,44,,,2021-05-01
Villalba,,,4,,,44,,,2021-05-01
altreProvince,,7,,2,14,48,26,,2021-05-01
Acquaviva Platani,,1,18,,,23,,,2021-05-02
Bompensiere,,,6,,,24,1,,2021-05-02
Butera,,,7,,,81,,,2021-05-02
Campofranco,,,3,,,43,2,,2021-05-02
Caltanissetta,3,23,250,1,,2171,40,1,2021-05-02
Delia,,1,9,,,60,2,,2021-05-02
Gela,5,25,551,3,,3023,69,,2021-05-02
Marianopoli,,4,46,,,18,2,,2021-05-02
Mazzarino,,,54,,,344,3,,2021-05-02
Milena,,,1,,,153,6,,2021-05-02
Montedoro,,,2,,,81,3,,2021-05-02
Mussomeli,,3,74,,,243,4,1,2021-05-02
Niscemi,,1,114,,,1191,24,,2021-05-02
Resuttano,,2,13,,,67,,,2021-05-02
Riesi,,6,53,1,,258,6,,2021-05-02
San Cataldo,2,7,62,,,715,12,,2021-05-02
Santa Caterina Villarmosa,,3,19,,,84,1,,2021-05-02
Serradifalco,1,2,46,,,183,3,,2021-05-02
Sommatino,1,,10,,,107,3,,2021-05-02
Sutera,,,,,,4,,,2021-05-02
Vallelunga Pratameno,,1,2,,,44,,,2021-05-02
Villalba,,,4,,,44,,,2021-05-02
altreProvince,,6,,2,14,48,26,,2021-05-02
Acquaviva Platani,,1,8,,,33,,,2021-05-04
Bompensiere,,,7,,,24,1,,2021-05-04
Butera,,,8,,,81,,,2021-05-04
Campofranco,,,1,,,45,2,,2021-05-04
Caltanissetta,1,20,219,1,,2221,41,1,2021-05-04
Delia,,1,9,,,60,2,,2021-05-04
Gela,4,25,558,3,,3076,69,,2021-05-04
Marianopoli,,4,31,,,35,2,,2021-05-04
Mazzarino,,,51,,,347,3,,2021-05-04
Milena,,,1,,,153,6,,2021-05-04
Montedoro,,,2,,,81,3,,2021-05-04
Mussomeli,,3,62,,,258,4,1,2021-05-04
Niscemi,,1,97,,,1213,24,,2021-05-04
Resuttano,,2,11,,,69,,,2021-05-04
Riesi,,7,53,1,,258,6,,2021-05-04
San Cataldo,2,7,61,,,722,12,,2021-05-04
Santa Caterina Villarmosa,,3,15,,,88,1,,2021-05-04
Serradifalco,1,2,52,,,186,3,,2021-05-04
Sommatino,,1,7,,,110,3,,2021-05-04
Sutera,,,,,,4,,,2021-05-04
Vallelunga Pratameno,,1,,,,46,,,2021-05-04
Villalba,,,4,,,44,,,2021-05-04
altreProvince,,6,,2,14,48,26,,2021-05-04
Acquaviva Platani,,1,8,,,33,,,2021-05-07
Bompensiere,,,9,,,24,1,,2021-05-07
Butera,,,16,,,82,,,2021-05-07
Campofranco,,,1,,,45,2,,2021-05-07
Caltanissetta,1,16,168,1,,2298,41,1,2021-05-07
Delia,,,11,,,62,2,,2021-05-07
Gela,2,26,596,3,,3154,70,,2021-05-07
Marianopoli,,3,26,,,41,2,,2021-05-07
Mazzarino,,,39,,,368,3,,2021-05-07
Milena,,,1,,,153,6,,2021-05-07
Montedoro,,,1,,,82,3,,2021-05-07
Mussomeli,,2,50,,,272,4,1,2021-05-07
Niscemi,,1,97,,,1228,24,,2021-05-07
Resuttano,,1,7,,,74,,,2021-05-07
Riesi,,8,103,1,,266,6,,2021-05-07
San Cataldo,1,7,45,,,742,13,,2021-05-07
Santa Caterina Villarmosa,,2,15,,,89,1,,2021-05-07
Serradifalco,,2,54,,,196,4,,2021-05-07
Sommatino,,1,6,,,113,3,,2021-05-07
Sutera,,,,,,4,,,2021-05-07
Vallelunga Pratameno,,,,,,47,,,2021-05-07
Villalba,,,5,,,45,,,2021-05-07
altreProvince,,3,,2,14,50,27,,2021-05-07
Acquaviva Platani,,1,8,,,33,,,2021-05-10
Bompensiere,,,9,,,24,1,,2021-05-10
Butera,,,15,,,83,,,2021-05-10
Campofranco,,,1,,,45,2,,2021-05-10
Caltanissetta,,18,135,1,,2337,43,1,2021-05-10
Delia,,,7,,,67,2,,2021-05-10
Gela,1,27,564,3,,3260,72,,2021-05-10
Marianopoli,,2,16,,,52,3,,2021-05-10
Mazzarino,,2,22,,,383,3,,2021-05-10
Milena,,,,,,154,6,,2021-05-10
Montedoro,,,1,,,82,3,,2021-05-10
Mussomeli,,2,23,,,300,4,1,2021-05-10
Niscemi,,1,80,,,1252,24,,2021-05-10
Resuttano,,1,6,,,75,,,2021-05-10
Riesi,,10,134,1,,272,6,,2021-05-10
San Cataldo,,6,36,,,752,14,,2021-05-10
Santa Caterina Villarmosa,,2,16,,,89,1,,2021-05-10
Serradifalco,,3,30,,,220,4,,2021-05-10
Sommatino,,2,2,,,116,3,,2021-05-10
Sutera,,,,,,4,,,2021-05-10
Vallelunga Pratameno,,,,,,47,,,2021-05-10
Villalba,,,3,,,47,,,2021-05-10
altreProvince,,2,,2,14,51,27,,2021-05-10
Acquaviva Platani,,1,5,,,36,,,2021-05-15
Bompensiere,,,2,,,31,1,,2021-05-15
Butera,,,13,,,86,,,2021-05-15
Campofranco,,,,,,46,2,,2021-05-15
Caltanissetta,,16,89,1,,2397,43,1,2021-05-15
Delia,,,4,,,68,2,,2021-05-15
Gela,2,21,455,3,,3421,73,,2021-05-15
Marianopoli,,1,7,,,62,3,,2021-05-15
Mazzarino,,2,10,,,398,3,,2021-05-15
Milena,,,,,,154,6,,2021-05-15
Montedoro,,,,,,83,3,,2021-05-15
Mussomeli,,3,15,,,310,4,1,2021-05-15
Niscemi,,2,69,,,1286,24,,2021-05-15
Resuttano,,,5,,,77,,,2021-05-15
Riesi,,10,160,1,,289,6,,2021-05-15
San Cataldo,,2,25,,,767,15,,2021-05-15
Santa Caterina Villarmosa,,1,12,,,94,1,,2021-05-15
Serradifalco,,3,23,,,230,4,,2021-05-15
Sommatino,,,2,1,,118,3,,2021-05-15
Sutera,,,,,,4,,,2021-05-15
Vallelunga Pratameno,,,,,,47,,,2021-05-15
Villalba,,,2,,,48,,,2021-05-15
altreProvince,,2,,2,14,51,27,,2021-05-15
Acquaviva Platani,,1,4,,,37,,,2021-05-16
Bompensiere,,,2,,,31,1,,2021-05-16
Butera,,,13,,,86,,,2021-05-16
Campofranco,,,,,,46,2,,2021-05-16
Caltanissetta,,15,83,1,,2406,43,1,2021-05-16
Delia,,,4,,,68,2,,2021-05-16
Gela,2,21,424,3,,3458,73,,2021-05-16
Marianopoli,,1,7,,,62,3,,2021-05-16
Mazzarino,,2,10,,,398,3,,2021-05-16
Milena,,,,,,154,6,,2021-05-16
Montedoro,,,,,,83,3,,2021-05-16
Mussomeli,,3,14,,,311,4,1,2021-05-16
Niscemi,,2,68,,,1288,24,,2021-05-16
Resuttano,,,5,,,77,,,2021-05-16
Riesi,,11,159,1,,289,6,,2021-05-16
San Cataldo,,2,20,,,772,15,,2021-05-16
Santa Caterina Villarmosa,,1,12,,,94,1,,2021-05-16
Serradifalco,,3,22,,,231,4,,2021-05-16
Sommatino,,,2,1,,118,3,,2021-05-16
Sutera,,,,,,4,,,2021-05-16
Vallelunga Pratameno,,,,,,47,,,2021-05-16
Villalba,,,2,,,48,,,2021-05-16
altreProvince,,2,,2,14,51,27,,2021-05-16
Acquaviva Platani,,1,4,,,37,,,2021-05-17
Bompensiere,,,2,,,31,1,,2021-05-17
Butera,,,13,,,86,,,2021-05-17
Campofranco,,,,,,46,2,,2021-05-17
Caltanissetta,,15,80,1,,2409,43,1,2021-05-17
Delia,,,2,,,70,2,,2021-05-17
Gela,1,21,385,3,,3499,74,,2021-05-17
Marianopoli,,1,6,,,63,3,,2021-05-17
Mazzarino,,2,9,,,399,3,,2021-05-17
Milena,,,,,,154,6,,2021-05-17
Montedoro,,,,,,83,3,,2021-05-17
Mussomeli,,3,13,,,312,4,1,2021-05-17
Niscemi,,2,70,,,1290,24,,2021-05-17
Resuttano,,,3,,,79,,,2021-05-17
Riesi,,11,155,1,,293,6,,2021-05-17
San Cataldo,,2,20,,,772,15,,2021-05-17
Santa Caterina Villarmosa,,1,11,,,95,1,,2021-05-17
Serradifalco,,3,22,,,231,4,,2021-05-17
Sommatino,,,2,1,,118,3,,2021-05-17
Sutera,,,,,,4,,,2021-05-17
Vallelunga Pratameno,,,,,,47,,,2021-05-17
Villalba,,,2,,,48,,,2021-05-17
altreProvince,,2,,2,14,51,27,,2021-05-17
Acquaviva Platani,,,4,,,38,,,2021-05-18
Bompensiere,,,2,,,31,1,,2021-05-18
Butera,,,11,,,88,,,2021-05-18
Campofranco,,,,,,46,2,,2021-05-18
Caltanissetta,,15,78,1,,2414,43,1,2021-05-18
Delia,,,2,,,70,2,,2021-05-18
Gela,1,18,360,3,,3531,74,,2021-05-18
Marianopoli,,1,6,,,63,3,,2021-05-18
Mazzarino,,2,9,,,399,3,,2021-05-18
Milena,,,,,,154,6,,2021-05-18
Montedoro,,,,,,83,3,,2021-05-18
Mussomeli,,3,13,,,312,4,1,2021-05-18
Niscemi,1,2,67,,,1294,24,,2021-05-18
Resuttano,,,3,,,79,,,2021-05-18
Riesi,,12,158,1,,297,6,,2021-05-18
San Cataldo,,2,16,,,776,15,,2021-05-18
Santa Caterina Villarmosa,,1,9,,,97,1,,2021-05-18
Serradifalco,,3,23,,,232,4,,2021-05-18
Sommatino,,,2,1,,118,3,,2021-05-18
Sutera,,,,,,4,,,2021-05-18
Vallelunga Pratameno,,,,,,47,,,2021-05-18
Villalba,,,2,,,48,,,2021-05-18
altreProvince,,2,,2,14,51,27,,2021-05-18
Acquaviva Platani,,,3,,,39,,,2021-05-19
Bompensiere,,,2,,,31,1,,2021-05-19
Butera,,,11,,,88,,,2021-05-19
Campofranco,,,,,,46,2,,2021-05-19
Caltanissetta,,14,77,1,,2419,43,1,2021-05-19
Delia,,,2,,,70,2,,2021-05-19
Gela,1,18,325,3,,3570,74,,2021-05-19
Marianopoli,,1,5,,,64,3,,2021-05-19
Mazzarino,,2,9,,,399,3,,2021-05-19
Milena,,,,,,154,6,,2021-05-19
Montedoro,,,,,,83,3,,2021-05-19
Mussomeli,,3,13,,,312,4,1,2021-05-19
Niscemi,1,2,63,,,1299,24,,2021-05-19
Resuttano,,,3,,,79,,,2021-05-19
Riesi,,13,157,1,,297,6,,2021-05-19
San Cataldo,,2,15,,,777,15,,2021-05-19
Santa Caterina Villarmosa,,1,9,,,97,1,,2021-05-19
Serradifalco,,2,23,,,233,4,,2021-05-19
Sommatino,,,1,1,,119,3,,2021-05-19
Sutera,,,,,,4,,,2021-05-19
Vallelunga Pratameno,,,,,,47,,,2021-05-19
Villalba,,,2,,,48,,,2021-05-19
altreProvince,,3,,2,14,51,27,,2021-05-19
Acquaviva Platani,,,2,,,40,,,2021-05-21
Bompensiere,,,,,,33,1,,2021-05-21
Butera,,,10,,,89,,,2021-05-21
Campofranco,,,,,,46,2,,2021-05-21
Caltanissetta,,14,67,1,,2429,43,1,2021-05-21
Delia,,,,,,72,2,,2021-05-21
Gela,1,17,269,,,3632,75,,2021-05-21
Marianopoli,,1,1,,,68,3,,2021-05-21
Mazzarino,,2,9,,,399,3,,2021-05-21
Milena,,,,,,154,6,,2021-05-21
Montedoro,,,,,,83,3,,2021-05-21
Mussomeli,,3,8,,,317,4,1,2021-05-21
Niscemi,1,2,64,,,1305,24,,2021-05-21
Resuttano,,,3,,,79,,,2021-05-21
Riesi,,13,156,1,,310,6,,2021-05-21
San Cataldo,,2,11,,,781,15,,2021-05-21
Santa Caterina Villarmosa,,1,7,,,99,1,,2021-05-21
Serradifalco,,2,18,,,238,4,,2021-05-21
Sommatino,,,1,1,,119,3,,2021-05-21
Sutera,,,,,,4,,,2021-05-21
Vallelunga Pratameno,,,,,,47,,,2021-05-21
Villalba,,,2,,,48,,,2021-05-21
altreProvince,,2,,2,14,51,27,,2021-05-21
Acquaviva Platani,,,2.0,,,40.0,,,2021-05-22
Bompensiere,,,,,,33.0,1.0,,2021-05-22
Butera,,,10.0,,,89.0,,,2021-05-22
Campofranco,,,,,,46.0,2.0,,2021-05-22
Caltanissetta,,11.0,62.0,1.0,,2437.0,43.0,1.0,2021-05-22
Delia,,,1.0,,,72.0,2.0,,2021-05-22
Gela,1.0,17.0,244.0,,,3658.0,75.0,,2021-05-22
Marianopoli,,1.0,1.0,,,68.0,3.0,,2021-05-22
Mazzarino,,,7.0,,,403.0,3.0,,2021-05-22
Milena,,,,,,154.0,6.0,,2021-05-22
Montedoro,,,1.0,,,83.0,3.0,,2021-05-22
Mussomeli,,3.0,8.0,,,317.0,4.0,1.0,2021-05-22
Niscemi,1.0,1.0,68.0,,,1306.0,24.0,,2021-05-22
Resuttano,,,2.0,,,80.0,,,2021-05-22
Riesi,,11.0,155.0,1.0,,322.0,6.0,,2021-05-22
San Cataldo,,1.0,9.0,,,784.0,15.0,,2021-05-22
Santa Caterina Villarmosa,,1.0,7.0,,,99.0,1.0,,2021-05-22
Serradifalco,,2.0,18.0,,,238.0,4.0,,2021-05-22
Sommatino,,,2.0,1.0,,119.0,3.0,,2021-05-22
Sutera,,,,,,4.0,,,2021-05-22
Vallelunga Pratameno,,,,,,47.0,,,2021-05-22
Villalba,,,1.0,,,49.0,,,2021-05-22
altreProvince,,3.0,,2.0,14.0,51.0,27.0,,2021-05-22
Acquaviva Platani,,,2,,,40,,,2021-05-23
Bompensiere,,,,,,33,1,,2021-05-23
Butera,,,10,,,89,,,2021-05-23
Campofranco,,,,,,46,2,,2021-05-23
Caltanissetta,,10,60,1,,2440,43,1,2021-05-23
Delia,,,1,,,72,2,,2021-05-23
Gela,1,17,226,,,3680,75,,2021-05-23
Marianopoli,,1,,,,69,3,,2021-05-23
Mazzarino,,,7,,,403,3,,2021-05-23
Milena,,,,,,154,6,,2021-05-23
Montedoro,,,1,,,83,3,,2021-05-23
Mussomeli,,3,8,,,317,4,1,2021-05-23
Niscemi,1,1,72,,,1311,24,,2021-05-23
Resuttano,,,2,,,80,,,2021-05-23
Riesi,,11,158,1,,323,6,,2021-05-23
San Cataldo,,1,8,,,785,15,,2021-05-23
Santa Caterina Villarmosa,,1,7,,,99,1,,2021-05-23
Serradifalco,,2,16,,,240,4,,2021-05-23
Sommatino,,,2,1,,119,3,,2021-05-23
Sutera,,,,,,4,,,2021-05-23
Vallelunga Pratameno,,,,,,47,,,2021-05-23
Villalba,,,1,,,49,,,2021-05-23
altreProvince,,3,,2,14,51,27,,2021-05-23
Acquaviva Platani,,,2,,,40,,,2021-05-24
Bompensiere,,,,,,33,1,,2021-05-24
Butera,,,9,,,90,,,2021-05-24
Campofranco,,,,,,46,2,,2021-05-24
Caltanissetta,,10,61,1,,2440,43,1,2021-05-24
Delia,,,2,,,72,2,,2021-05-24
Gela,1,16,209,,,3700,75,,2021-05-24
Marianopoli,,1,,,,69,3,,2021-05-24
Mazzarino,,,7,,,403,3,,2021-05-24
Milena,,,,,,154,6,,2021-05-24
Montedoro,,,1,,,83,3,,2021-05-24
Mussomeli,,2,7,,,319,4,1,2021-05-24
Niscemi,1,2,66,,,1317,24,,2021-05-24
Resuttano,,,2,,,80,,,2021-05-24
Riesi,,11,158,1,,323,6,,2021-05-24
San Cataldo,,1,8,,,786,15,,2021-05-24
Santa Caterina Villarmosa,,1,7,,,99,1,,2021-05-24
Serradifalco,,2,12,,,244,4,,2021-05-24
Sommatino,,,1,1,,120,3,,2021-05-24
Sutera,,,,,,4,,,2021-05-24
Vallelunga Pratameno,,,,,,47,,,2021-05-24
Villalba,,,,,,50,,,2021-05-24
altreProvince,,3,,2,14,51,27,,2021-05-24
Acquaviva Platani,,,1,,,41,,,2021-06-03
Bompensiere,,,,,,33,1,,2021-06-03
Butera,,,,,,99,,,2021-06-03
Caltanissetta,,1,22,1,,2495,43,1,2021-06-03
Campofranco,,,,,,46,2,,2021-06-03
Delia,,,4,,,72,2,,2021-06-03
Gela,1,12,64,,,3875,76,,2021-06-03
Marianopoli,,1,,,,69,3,,2021-06-03
Mazzarino,,,,,,410,3,,2021-06-03
Milena,,,,,,154,6,,2021-06-03
Montedoro,,,1,,,83,3,,2021-06-03
Mussomeli,,1,,,,327,4,1,2021-06-03
Niscemi,,3,76,,,1343,25,,2021-06-03
Resuttano,,,,,,82,,,2021-06-03
Riesi,,5,60,1,,434,6,,2021-06-03
San Cataldo,,,3,,,794,15,,2021-06-03
Santa Caterina Villarmosa,,,6,,,100,1,,2021-06-03
Serradifalco,,,1,,,257,4,,2021-06-03
Sommatino,,,4,,,121,3,,2021-06-03
Sutera,,,,,,4,,,2021-06-03
Vallelunga Pratameno,,,,,,47,,,2021-06-03
Villalba,,,,,,50,,,2021-06-03
altreProvince,1,2,,2,14,51,27,,2021-06-03
Acquaviva Platani,,,1,,,41,,,2021-06-05
Bompensiere,,,,,,33,1,,2021-06-05
Butera,,,,,,99,,,2021-06-05
Caltanissetta,,,16,1,,2502,43,1,2021-06-05
Campofranco,,,,,,46,2,,2021-06-05
Delia,,,4,,,72,2,,2021-06-05
Gela,1,8,54,,,3893,76,,2021-06-05
Marianopoli,,1,,,,69,3,,2021-06-05
Mazzarino,,,,,,410,3,,2021-06-05
Milena,,,,,,154,6,,2021-06-05
Montedoro,,,1,,,83,3,,2021-06-05
Mussomeli,,1,,,,327,4,1,2021-06-05
Niscemi,1,2,72,,,1349,25,,2021-06-05
Resuttano,,,,,,82,,,2021-06-05
Riesi,,4,57,1,,439,6,,2021-06-05
San Cataldo,,,3,,,794,15,,2021-06-05
Santa Caterina Villarmosa,,,2,,,104,1,,2021-06-05
Serradifalco,,,1,,,257,4,,2021-06-05
Sommatino,,,3,,,122,3,,2021-06-05
Sutera,,,,,,4,,,2021-06-05
Vallelunga Pratameno,,,,,,47,,,2021-06-05
Villalba,,,,,,50,,,2021-06-05
altreProvince,1,2,,2,14,51,27,,2021-06-05
Acquaviva Platani,,,1,,,41,,,2021-06-10
Bompensiere,,,,,,33,1,,2021-06-10
Butera,,,,,,99,,,2021-06-10
Caltanissetta,,,24,1,,2507,43,1,2021-06-10
Campofranco,,,,,,46,2,,2021-06-10
Delia,,,3,,,73,2,,2021-06-10
Gela,,8,74,,,3914,77,,2021-06-10
Marianopoli,,1,,,,69,3,,2021-06-10
Mazzarino,,,,,,410,3,,2021-06-10
Milena,,,,,,154,6,,2021-06-10
Montedoro,,,,,,84,3,,2021-06-10
Mussomeli,,1,,,,327,4,1,2021-06-10
Niscemi,1,3,58,,,1370,25,,2021-06-10
Resuttano,,,,,,82,,,2021-06-10
Riesi,,2,34,1,,466,6,,2021-06-10
San Cataldo,,,3,,,794,15,,2021-06-10
Santa Caterina Villarmosa,,,4,,,104,1,,2021-06-10
Serradifalco,,,,,,258,4,,2021-06-10
Sommatino,,,3,,,122,3,,2021-06-10
Sutera,,,,,,4,,,2021-06-10
Vallelunga Pratameno,,,,,,47,,,2021-06-10
Villalba,,,1,,,50,,,2021-06-10
altreProvince,1,2,,2,14,51,27,,2021-06-10
Acquaviva Platani,,,,,,42,,,2021-06-12
Bompensiere,,,,,,33,1,,2021-06-12
Butera,,,,,,99,,,2021-06-12
Caltanissetta,,,32,1,,2508,43,1,2021-06-12
Campofranco,,,,,,46,2,,2021-06-12
